transition,date,replicate,arm,answer,model
2025,2025-01-09,1,yes_no_choice,Yes,jev-1.13.0
2025,2025-01-09,1,who_choice,Donald Trump,jev-1.13.0
2025,2024-11-19,1,binary_probability,0.25,jev-1.13.0
2025,2024-11-19,1,yes_no_choice,No,jev-1.13.0
2025,2024-11-19,1,who_choice,Donald Trump,jev-1.13.0
2025,2025-02-03,1,binary_probability,0.64,jev-1.13.0
2025,2025-02-03,1,yes_no_choice,Yes,jev-1.13.0
2025,2025-02-03,1,who_choice,Donald Trump,jev-1.13.0
2021,2020-06-04,1,binary_probability,0.98,jev-1.13.0
2021,2020-06-04,1,yes_no_choice,Yes,jev-1.13.0
2021,2020-06-04,1,who_choice,Donald Trump,jev-1.13.0
2025,2024-10-09,1,binary_probability,0.18,jev-1.13.0
2025,2024-10-09,1,yes_no_choice,No,jev-1.13.0
2025,2024-10-09,1,who_choice,Joe Biden,jev-1.13.0
2021,2020-10-31,1,binary_probability,0.98,jev-1.13.0
2021,2020-10-31,1,yes_no_choice,Yes,jev-1.13.0
2021,2020-10-31,1,who_choice,Donald Trump,jev-1.13.0
2025,2024-04-13,1,binary_probability,0.03,jev-1.13.0
2025,2024-04-13,1,yes_no_choice,No,jev-1.13.0
2025,2024-04-13,1,who_choice,Joe Biden,jev-1.13.0
2021,2020-05-28,1,binary_probability,0.98,jev-1.13.0
2021,2020-05-28,1,yes_no_choice,Yes,jev-1.13.0
2021,2020-05-28,1,who_choice,Donald Trump,jev-1.13.0
2025,2025-10-18,1,binary_probability,0.48,jev-1.13.0
2025,2025-10-18,1,yes_no_choice,Yes,jev-1.13.0
2025,2025-10-18,1,who_choice,Donald Trump,jev-1.13.0
2025,2025-07-09,1,binary_probability,0.48,jev-1.13.0
2025,2025-07-09,1,yes_no_choice,No,jev-1.13.0
2025,2025-07-09,1,who_choice,Donald Trump,jev-1.13.0
2025,2024-11-26,1,binary_probability,0.19,jev-1.13.0
2025,2024-11-26,1,yes_no_choice,No,jev-1.13.0
2025,2024-11-26,1,who_choice,Joe Biden,jev-1.13.0
2021,2020-04-01,1,binary_probability,0.98,jev-1.13.0
2021,2020-04-01,1,yes_no_choice,Yes,jev-1.13.0
2021,2020-04-01,1,who_choice,Donald Trump,jev-1.13.0
2021,2020-11-21,1,binary_probability,0.97,jev-1.13.0
2021,2020-11-21,1,yes_no_choice,Yes,jev-1.13.0
2021,2020-11-21,1,who_choice,Donald Trump,jev-1.13.0
2021,2020-02-20,1,binary_probability,0.99,jev-1.13.0
2021,2020-02-20,1,yes_no_choice,Yes,jev-1.13.0
2021,2020-02-20,1,who_choice,Donald Trump,jev-1.13.0
2025,2024-03-29,1,binary_probability,0.09,jev-1.13.0
2025,2024-03-29,1,yes_no_choice,No,jev-1.13.0
2025,2024-03-29,1,who_choice,Joe Biden,jev-1.13.0
2021,2020-04-18,1,binary_probability,0.99,jev-1.13.0
2021,2020-04-18,1,yes_no_choice,Yes,jev-1.13.0
2021,2020-04-18,1,who_choice,Donald Trump,jev-1.13.0
2025,2024-08-21,1,binary_probability,0.08,jev-1.13.0
2025,2024-08-21,1,yes_no_choice,No,jev-1.13.0
2025,2024-08-21,1,who_choice,Joe Biden,jev-1.13.0
2025,2024-08-11,1,binary_probability,0.09,jev-1.13.0
2025,2024-08-11,1,yes_no_choice,No,jev-1.13.0
2025,2024-08-11,1,who_choice,Joe Biden,jev-1.13.0
2021,2020-12-01,1,binary_probability,0.98,jev-1.13.0
2021,2020-12-01,1,yes_no_choice,Yes,jev-1.13.0
2021,2020-12-01,1,who_choice,Donald Trump,jev-1.13.0
2021,2020-02-28,1,binary_probability,0.98,jev-1.13.0
2021,2020-02-28,1,yes_no_choice,Yes,jev-1.13.0
2021,2020-02-28,1,who_choice,Donald Trump,jev-1.13.0
2021,2021-03-07,1,binary_probability,0.03,jev-1.13.0
2021,2021-03-07,1,yes_no_choice,No,jev-1.13.0
2021,2021-03-07,1,who_choice,Joe Biden,jev-1.13.0
2021,2021-10-04,1,binary_probability,0.03,jev-1.13.0
2021,2021-10-04,1,yes_no_choice,No,jev-1.13.0
2021,2021-10-04,1,who_choice,Joe Biden,jev-1.13.0
2021,2020-12-12,1,binary_probability,0.97,jev-1.13.0
2021,2020-12-12,1,yes_no_choice,Yes,jev-1.13.0
2021,2020-12-12,1,who_choice,Donald Trump,jev-1.13.0
2021,2020-02-26,1,binary_probability,0.98,jev-1.13.0
2021,2020-02-26,1,yes_no_choice,Yes,jev-1.13.0
2021,2020-02-26,1,who_choice,Donald Trump,jev-1.13.0
2021,2021-12-20,1,binary_probability,0.02,jev-1.13.0
2021,2021-12-20,1,yes_no_choice,No,jev-1.13.0
2021,2021-12-20,1,who_choice,Joe Biden,jev-1.13.0
2021,2021-02-09,1,binary_probability,0.06,jev-1.13.0
2021,2021-02-09,1,yes_no_choice,No,jev-1.13.0
2021,2021-02-09,1,who_choice,Joe Biden,jev-1.13.0
2025,2024-09-07,1,binary_probability,0.07,jev-1.13.0
2025,2024-09-07,1,yes_no_choice,No,jev-1.13.0
2025,2024-09-07,1,who_choice,Joe Biden,jev-1.13.0
2025,2025-05-06,1,binary_probability,0.5,jev-1.13.0
2025,2025-05-06,1,yes_no_choice,No,jev-1.13.0
2025,2025-05-06,1,who_choice,Donald Trump,jev-1.13.0
2025,2025-02-12,1,binary_probability,0.71,jev-1.13.0
2025,2025-02-12,1,yes_no_choice,Yes,jev-1.13.0
2025,2025-02-12,1,who_choice,Donald Trump,jev-1.13.0
2021,2020-08-09,1,binary_probability,0.98,jev-1.13.0
2021,2020-08-09,1,yes_no_choice,Yes,jev-1.13.0
2021,2020-08-09,1,who_choice,Donald Trump,jev-1.13.0
2025,2025-12-18,1,binary_probability,0.62,jev-1.13.0
2025,2025-12-18,1,yes_no_choice,Yes,jev-1.13.0
2025,2025-12-18,1,who_choice,Donald Trump,jev-1.13.0
2025,2025-06-25,1,binary_probability,0.46,jev-1.13.0
2025,2025-06-25,1,yes_no_choice,No,jev-1.13.0
2025,2025-06-25,1,who_choice,Donald Trump,jev-1.13.0
2025,2024-05-31,1,binary_probability,0.05,jev-1.13.0
2025,2024-05-31,1,yes_no_choice,No,jev-1.13.0
2025,2024-05-31,1,who_choice,Joe Biden,jev-1.13.0
2021,2021-10-21,1,binary_probability,0.02,jev-1.13.0
2021,2021-10-21,1,yes_no_choice,No,jev-1.13.0
2021,2021-10-21,1,who_choice,Joe Biden,jev-1.13.0
2025,2025-11-25,1,binary_probability,0.5,jev-1.13.0
2025,2025-11-25,1,yes_no_choice,Yes,jev-1.13.0
2025,2025-11-25,1,who_choice,Donald Trump,jev-1.13.0
2021,2021-03-09,1,binary_probability,0.03,jev-1.13.0
2021,2021-03-09,1,yes_no_choice,No,jev-1.13.0
2021,2021-03-09,1,who_choice,Joe Biden,jev-1.13.0
2021,2020-10-29,1,binary_probability,0.98,jev-1.13.0
2021,2020-10-29,1,yes_no_choice,Yes,jev-1.13.0
2021,2020-10-29,1,who_choice,Donald Trump,jev-1.13.0
2025,2025-03-08,1,binary_probability,0.54,jev-1.13.0
2025,2025-03-08,1,yes_no_choice,Yes,jev-1.13.0
2025,2025-03-08,1,who_choice,Donald Trump,jev-1.13.0
2021,2020-10-30,1,binary_probability,0.98,jev-1.13.0
2021,2020-10-30,1,yes_no_choice,Yes,jev-1.13.0
2021,2020-10-30,1,who_choice,Donald Trump,jev-1.13.0
2025,2024-10-25,1,binary_probability,0.18,jev-1.13.0
2025,2024-10-25,1,yes_no_choice,No,jev-1.13.0
2025,2024-10-25,1,who_choice,Joe Biden,jev-1.13.0
2021,2020-08-23,1,binary_probability,0.98,jev-1.13.0
2021,2020-08-23,1,yes_no_choice,Yes,jev-1.13.0
2021,2020-08-23,1,who_choice,Donald Trump,jev-1.13.0
2021,2021-03-31,1,binary_probability,0.03,jev-1.13.0
2021,2021-03-31,1,yes_no_choice,No,jev-1.13.0
2021,2021-03-31,1,who_choice,Joe Biden,jev-1.13.0
2021,2021-12-18,1,binary_probability,0.02,jev-1.13.0
2021,2021-12-18,1,yes_no_choice,No,jev-1.13.0
2021,2021-12-18,1,who_choice,Joe Biden,jev-1.13.0
2021,2020-08-01,1,binary_probability,0.99,jev-1.13.0
2021,2020-08-01,1,yes_no_choice,Yes,jev-1.13.0
2021,2020-08-01,1,who_choice,Donald Trump,jev-1.13.0
2021,2021-08-09,1,binary_probability,0.02,jev-1.13.0
2021,2021-08-09,1,yes_no_choice,No,jev-1.13.0
2021,2021-08-09,1,who_choice,Joe Biden,jev-1.13.0
2025,2024-05-04,1,binary_probability,0.09,jev-1.13.0
2025,2024-05-04,1,yes_no_choice,No,jev-1.13.0
2025,2024-05-04,1,who_choice,Joe Biden,jev-1.13.0
2025,2025-08-23,1,binary_probability,0.4,jev-1.13.0
2025,2025-08-23,1,yes_no_choice,No,jev-1.13.0
2025,2025-08-23,1,who_choice,Donald Trump,jev-1.13.0
2025,2025-01-15,1,binary_probability,0.54,jev-1.13.0
2025,2025-01-15,1,yes_no_choice,Yes,jev-1.13.0
2025,2025-01-15,1,who_choice,Donald Trump,jev-1.13.0
2021,2020-05-04,1,binary_probability,0.99,jev-1.13.0
2021,2020-05-04,1,yes_no_choice,Yes,jev-1.13.0
2021,2020-05-04,1,who_choice,Donald Trump,jev-1.13.0
2025,2024-04-26,1,binary_probability,0.04,jev-1.13.0
2025,2024-04-26,1,yes_no_choice,No,jev-1.13.0
2025,2024-04-26,1,who_choice,Joe Biden,jev-1.13.0
2021,2020-09-22,1,binary_probability,0.99,jev-1.13.0
2021,2020-09-22,1,yes_no_choice,Yes,jev-1.13.0
2021,2020-09-22,1,who_choice,Donald Trump,jev-1.13.0
2021,2021-01-14,1,binary_probability,0.96,jev-1.13.0
2021,2021-01-14,1,yes_no_choice,Yes,jev-1.13.0
2021,2021-01-14,1,who_choice,Donald Trump,jev-1.13.0
2021,2021-03-24,1,binary_probability,0.03,jev-1.13.0
2021,2021-03-24,1,yes_no_choice,No,jev-1.13.0
2021,2021-03-24,1,who_choice,Joe Biden,jev-1.13.0
2021,2021-04-19,1,binary_probability,0.03,jev-1.13.0
2021,2021-04-19,1,yes_no_choice,No,jev-1.13.0
2021,2021-04-19,1,who_choice,Joe Biden,jev-1.13.0
2021,2020-08-31,1,binary_probability,0.98,jev-1.13.0
2021,2020-08-31,1,yes_no_choice,Yes,jev-1.13.0
2021,2020-08-31,1,who_choice,Donald Trump,jev-1.13.0
2025,2025-04-24,1,binary_probability,0.51,jev-1.13.0
2025,2025-04-24,1,yes_no_choice,Yes,jev-1.13.0
2025,2025-04-24,1,who_choice,Donald Trump,jev-1.13.0
2021,2021-07-10,1,binary_probability,0.02,jev-1.13.0
2021,2021-07-10,1,yes_no_choice,No,jev-1.13.0
2021,2021-07-10,1,who_choice,Joe Biden,jev-1.13.0
2021,2020-11-03,1,binary_probability,0.97,jev-1.13.0
2021,2020-11-03,1,yes_no_choice,Yes,jev-1.13.0
2021,2020-11-03,1,who_choice,Donald Trump,jev-1.13.0
2025,2025-06-15,1,binary_probability,0.42,jev-1.13.0
2025,2025-06-15,1,yes_no_choice,No,jev-1.13.0
2025,2025-06-15,1,who_choice,Donald Trump,jev-1.13.0
2025,2024-09-14,1,binary_probability,0.05,jev-1.13.0
2025,2024-09-14,1,yes_no_choice,No,jev-1.13.0
2025,2024-09-14,1,who_choice,Joe Biden,jev-1.13.0
2025,2025-08-09,1,binary_probability,0.4,jev-1.13.0
2025,2025-08-09,1,yes_no_choice,No,jev-1.13.0
2025,2025-08-09,1,who_choice,Donald Trump,jev-1.13.0
2021,2021-08-03,1,binary_probability,0.02,jev-1.13.0
2021,2021-08-03,1,yes_no_choice,No,jev-1.13.0
2021,2021-08-03,1,who_choice,Joe Biden,jev-1.13.0
2021,2020-02-19,1,binary_probability,0.99,jev-1.13.0
2021,2020-02-19,1,yes_no_choice,Yes,jev-1.13.0
2021,2020-02-19,1,who_choice,Donald Trump,jev-1.13.0
2021,2021-07-01,1,binary_probability,0.02,jev-1.13.0
2021,2021-07-01,1,yes_no_choice,No,jev-1.13.0
2021,2021-07-01,1,who_choice,Joe Biden,jev-1.13.0
2021,2020-01-28,1,binary_probability,0.98,jev-1.13.0
2021,2020-01-28,1,yes_no_choice,Yes,jev-1.13.0
2021,2020-01-28,1,who_choice,Donald Trump,jev-1.13.0
2021,2021-10-06,1,binary_probability,0.02,jev-1.13.0
2021,2021-10-06,1,yes_no_choice,No,jev-1.13.0
2021,2021-10-06,1,who_choice,Joe Biden,jev-1.13.0
2021,2021-12-26,1,binary_probability,0.01,jev-1.13.0
2021,2021-12-26,1,yes_no_choice,No,jev-1.13.0
2021,2021-12-26,1,who_choice,Joe Biden,jev-1.13.0
2021,2021-02-05,1,binary_probability,0.06,jev-1.13.0
2021,2021-02-05,1,yes_no_choice,No,jev-1.13.0
2021,2021-02-05,1,who_choice,Joe Biden,jev-1.13.0
2025,2024-04-28,1,binary_probability,0.04,jev-1.13.0
2025,2024-04-28,1,yes_no_choice,No,jev-1.13.0
2025,2024-04-28,1,who_choice,Joe Biden,jev-1.13.0
2021,2021-03-30,1,binary_probability,0.03,jev-1.13.0
2021,2021-03-30,1,yes_no_choice,No,jev-1.13.0
2021,2021-03-30,1,who_choice,Joe Biden,jev-1.13.0
2021,2020-10-07,1,binary_probability,0.98,jev-1.13.0
2021,2020-10-07,1,yes_no_choice,Yes,jev-1.13.0
2021,2020-10-07,1,who_choice,Donald Trump,jev-1.13.0
2025,2025-09-23,1,binary_probability,0.42,jev-1.13.0
2025,2025-09-23,1,yes_no_choice,No,jev-1.13.0
2025,2025-09-23,1,who_choice,Donald Trump,jev-1.13.0
2021,2020-04-27,1,binary_probability,0.98,jev-1.13.0
2021,2020-04-27,1,yes_no_choice,Yes,jev-1.13.0
2021,2020-04-27,1,who_choice,Donald Trump,jev-1.13.0
2021,2021-04-07,1,binary_probability,0.03,jev-1.13.0
2021,2021-04-07,1,yes_no_choice,No,jev-1.13.0
2021,2021-04-07,1,who_choice,Joe Biden,jev-1.13.0
2021,2020-03-15,1,binary_probability,0.98,jev-1.13.0
2021,2020-03-15,1,yes_no_choice,Yes,jev-1.13.0
2021,2020-03-15,1,who_choice,Donald Trump,jev-1.13.0
2025,2024-10-20,1,binary_probability,0.12,jev-1.13.0
2025,2024-10-20,1,yes_no_choice,No,jev-1.13.0
2025,2024-10-20,1,who_choice,Joe Biden,jev-1.13.0
2021,2022-01-04,1,binary_probability,0.05,jev-1.13.0
2021,2022-01-04,1,yes_no_choice,No,jev-1.13.0
2021,2022-01-04,1,who_choice,Joe Biden,jev-1.13.0
2025,2024-03-13,1,binary_probability,0.06,jev-1.13.0
2025,2024-03-13,1,yes_no_choice,No,jev-1.13.0
2025,2024-03-13,1,who_choice,Joe Biden,jev-1.13.0
2025,2024-11-04,1,binary_probability,0.19,jev-1.13.0
2025,2024-11-04,1,yes_no_choice,No,jev-1.13.0
2025,2024-11-04,1,who_choice,Joe Biden,jev-1.13.0
2025,2025-10-30,1,binary_probability,0.51,jev-1.13.0
2025,2025-10-30,1,yes_no_choice,Yes,jev-1.13.0
2025,2025-10-30,1,who_choice,Donald Trump,jev-1.13.0
2025,2025-04-05,1,binary_probability,0.51,jev-1.13.0
2025,2025-04-05,1,yes_no_choice,Yes,jev-1.13.0
2025,2025-04-05,1,who_choice,Donald Trump,jev-1.13.0
2021,2020-02-29,1,binary_probability,0.98,jev-1.13.0
2021,2020-02-29,1,yes_no_choice,Yes,jev-1.13.0
2021,2020-02-29,1,who_choice,Donald Trump,jev-1.13.0
2021,2020-07-27,1,binary_probability,0.98,jev-1.13.0
2021,2020-07-27,1,yes_no_choice,Yes,jev-1.13.0
2021,2020-07-27,1,who_choice,Donald Trump,jev-1.13.0
2025,2025-12-05,1,binary_probability,0.57,jev-1.13.0
2025,2025-12-05,1,yes_no_choice,Yes,jev-1.13.0
2025,2025-12-05,1,who_choice,Donald Trump,jev-1.13.0
2025,2025-01-20,1,binary_probability,0.66,jev-1.13.0
2025,2025-01-20,1,yes_no_choice,Yes,jev-1.13.0
2025,2025-01-20,1,who_choice,Donald Trump,jev-1.13.0
2021,2020-09-29,1,binary_probability,0.98,jev-1.13.0
2021,2020-09-29,1,yes_no_choice,Yes,jev-1.13.0
2021,2020-09-29,1,who_choice,Donald Trump,jev-1.13.0
2021,2020-06-15,1,binary_probability,0.99,jev-1.13.0
2021,2020-06-15,1,yes_no_choice,Yes,jev-1.13.0
2021,2020-06-15,1,who_choice,Donald Trump,jev-1.13.0
2021,2021-06-23,1,binary_probability,0.02,jev-1.13.0
2021,2021-06-23,1,yes_no_choice,No,jev-1.13.0
2021,2021-06-23,1,who_choice,Joe Biden,jev-1.13.0
2021,2020-06-13,1,binary_probability,0.98,jev-1.13.0
2021,2020-06-13,1,yes_no_choice,Yes,jev-1.13.0
2021,2020-06-13,1,who_choice,Donald Trump,jev-1.13.0
2021,2021-02-10,1,binary_probability,0.06,jev-1.13.0
2021,2021-02-10,1,yes_no_choice,No,jev-1.13.0
2021,2021-02-10,1,who_choice,Joe Biden,jev-1.13.0
2021,2021-03-10,1,binary_probability,0.02,jev-1.13.0
2021,2021-03-10,1,yes_no_choice,No,jev-1.13.0
2021,2021-03-10,1,who_choice,Joe Biden,jev-1.13.0
2021,2021-03-27,1,binary_probability,0.03,jev-1.13.0
2021,2021-03-27,1,yes_no_choice,No,jev-1.13.0
2021,2021-03-27,1,who_choice,Joe Biden,jev-1.13.0
2025,2024-02-20,1,binary_probability,0.07,jev-1.13.0
2025,2024-02-20,1,yes_no_choice,No,jev-1.13.0
2025,2024-02-20,1,who_choice,Joe Biden,jev-1.13.0
2025,2025-01-06,1,binary_probability,0.42,jev-1.13.0
2025,2025-01-06,1,yes_no_choice,No,jev-1.13.0
2025,2025-01-06,1,who_choice,Donald Trump,jev-1.13.0
2025,2024-11-27,1,binary_probability,0.19,jev-1.13.0
2025,2024-11-27,1,yes_no_choice,No,jev-1.13.0
2025,2024-11-27,1,who_choice,Joe Biden,jev-1.13.0
2021,2021-09-23,1,binary_probability,0.01,jev-1.13.0
2021,2021-09-23,1,yes_no_choice,No,jev-1.13.0
2021,2021-09-23,1,who_choice,Joe Biden,jev-1.13.0
2021,2021-05-25,1,binary_probability,0.03,jev-1.13.0
2021,2021-05-25,1,yes_no_choice,No,jev-1.13.0
2021,2021-05-25,1,who_choice,Joe Biden,jev-1.13.0
2021,2020-07-16,1,binary_probability,0.98,jev-1.13.0
2021,2020-07-16,1,yes_no_choice,Yes,jev-1.13.0
2021,2020-07-16,1,who_choice,Donald Trump,jev-1.13.0
2021,2021-02-12,1,binary_probability,0.06,jev-1.13.0
2021,2021-02-12,1,yes_no_choice,No,jev-1.13.0
2021,2021-02-12,1,who_choice,Joe Biden,jev-1.13.0
2021,2020-01-26,1,binary_probability,0.98,jev-1.13.0
2021,2020-01-26,1,yes_no_choice,Yes,jev-1.13.0
2021,2020-01-26,1,who_choice,Donald Trump,jev-1.13.0
2025,2025-08-11,1,binary_probability,0.37,jev-1.13.0
2025,2025-08-11,1,yes_no_choice,Yes,jev-1.13.0
2025,2025-08-11,1,who_choice,Donald Trump,jev-1.13.0
2025,2025-11-26,1,binary_probability,0.57,jev-1.13.0
2025,2025-11-26,1,yes_no_choice,Yes,jev-1.13.0
2025,2025-11-26,1,who_choice,Donald Trump,jev-1.13.0
2021,2021-04-10,1,binary_probability,0.04,jev-1.13.0
2021,2021-04-10,1,yes_no_choice,No,jev-1.13.0
2021,2021-04-10,1,who_choice,Joe Biden,jev-1.13.0
2025,2024-11-18,1,binary_probability,0.25,jev-1.13.0
2025,2024-11-18,1,yes_no_choice,No,jev-1.13.0
2025,2024-11-18,1,who_choice,Donald Trump,jev-1.13.0
2021,2020-04-06,1,binary_probability,0.98,jev-1.13.0
2021,2020-04-06,1,yes_no_choice,Yes,jev-1.13.0
2021,2020-04-06,1,who_choice,Donald Trump,jev-1.13.0
2025,2025-08-16,1,binary_probability,0.42,jev-1.13.0
2025,2025-08-16,1,yes_no_choice,No,jev-1.13.0
2025,2025-08-16,1,who_choice,Donald Trump,jev-1.13.0
2021,2020-11-29,1,binary_probability,0.96,jev-1.13.0
2021,2020-11-29,1,yes_no_choice,Yes,jev-1.13.0
2021,2020-11-29,1,who_choice,Donald Trump,jev-1.13.0
2025,2024-02-13,1,binary_probability,0.07,jev-1.13.0
2025,2024-02-13,1,yes_no_choice,No,jev-1.13.0
2025,2024-02-13,1,who_choice,Joe Biden,jev-1.13.0
2021,2022-01-13,1,binary_probability,0.07,jev-1.13.0
2021,2022-01-13,1,yes_no_choice,No,jev-1.13.0
2021,2022-01-13,1,who_choice,Joe Biden,jev-1.13.0
2021,2020-12-17,1,binary_probability,0.97,jev-1.13.0
2021,2020-12-17,1,yes_no_choice,Yes,jev-1.13.0
2021,2020-12-17,1,who_choice,Donald Trump,jev-1.13.0
2021,2020-11-18,1,binary_probability,0.96,jev-1.13.0
2021,2020-11-18,1,yes_no_choice,Yes,jev-1.13.0
2021,2020-11-18,1,who_choice,Donald Trump,jev-1.13.0
2025,2025-12-23,1,binary_probability,0.56,jev-1.13.0
2025,2025-12-23,1,yes_no_choice,Yes,jev-1.13.0
2025,2025-12-23,1,who_choice,Donald Trump,jev-1.13.0
2025,2024-12-12,1,binary_probability,0.36,jev-1.13.0
2025,2024-12-12,1,yes_no_choice,No,jev-1.13.0
2025,2024-12-12,1,who_choice,Donald Trump,jev-1.13.0
2025,2024-08-29,1,binary_probability,0.08,jev-1.13.0
2025,2024-08-29,1,yes_no_choice,No,jev-1.13.0
2025,2024-08-29,1,who_choice,Joe Biden,jev-1.13.0
2025,2025-05-05,1,binary_probability,0.51,jev-1.13.0
2025,2025-05-05,1,yes_no_choice,Yes,jev-1.13.0
2025,2025-05-05,1,who_choice,Donald Trump,jev-1.13.0
2021,2021-08-02,1,binary_probability,0.02,jev-1.13.0
2021,2021-08-02,1,yes_no_choice,No,jev-1.13.0
2021,2021-08-02,1,who_choice,Joe Biden,jev-1.13.0
2021,2020-09-23,1,binary_probability,0.98,jev-1.13.0
2021,2020-09-23,1,yes_no_choice,Yes,jev-1.13.0
2021,2020-09-23,1,who_choice,Donald Trump,jev-1.13.0
2025,2025-06-06,1,binary_probability,0.49,jev-1.13.0
2025,2025-06-06,1,yes_no_choice,Yes,jev-1.13.0
2025,2025-06-06,1,who_choice,Donald Trump,jev-1.13.0
2021,2020-02-10,1,binary_probability,0.99,jev-1.13.0
2021,2020-02-10,1,yes_no_choice,Yes,jev-1.13.0
2021,2020-02-10,1,who_choice,Donald Trump,jev-1.13.0
2021,2021-12-08,1,binary_probability,0.02,jev-1.13.0
2021,2021-12-08,1,yes_no_choice,No,jev-1.13.0
2021,2021-12-08,1,who_choice,Joe Biden,jev-1.13.0
2021,2020-12-13,1,binary_probability,0.97,jev-1.13.0
2021,2020-12-13,1,yes_no_choice,Yes,jev-1.13.0
2021,2020-12-13,1,who_choice,Donald Trump,jev-1.13.0
2025,2025-03-28,1,binary_probability,0.62,jev-1.13.0
2025,2025-03-28,1,yes_no_choice,Yes,jev-1.13.0
2025,2025-03-28,1,who_choice,Donald Trump,jev-1.13.0
2021,2020-10-19,1,binary_probability,0.98,jev-1.13.0
2021,2020-10-19,1,yes_no_choice,Yes,jev-1.13.0
2021,2020-10-19,1,who_choice,Donald Trump,jev-1.13.0
2025,2024-01-31,1,binary_probability,0.21,jev-1.13.0
2025,2024-01-31,1,yes_no_choice,No,jev-1.13.0
2025,2024-01-31,1,who_choice,Joe Biden,jev-1.13.0
2025,2025-03-06,1,binary_probability,0.63,jev-1.13.0
2025,2025-03-06,1,yes_no_choice,Yes,jev-1.13.0
2025,2025-03-06,1,who_choice,Donald Trump,jev-1.13.0
2025,2025-01-29,1,binary_probability,0.54,jev-1.13.0
2025,2025-01-29,1,yes_no_choice,Yes,jev-1.13.0
2025,2025-01-29,1,who_choice,Donald Trump,jev-1.13.0
2021,2021-03-13,1,binary_probability,0.03,jev-1.13.0
2021,2021-03-13,1,yes_no_choice,No,jev-1.13.0
2021,2021-03-13,1,who_choice,Joe Biden,jev-1.13.0
2025,2024-04-11,1,binary_probability,0.06,jev-1.13.0
2025,2024-04-11,1,yes_no_choice,No,jev-1.13.0
2025,2024-04-11,1,who_choice,Joe Biden,jev-1.13.0
2021,2021-03-21,1,binary_probability,0.03,jev-1.13.0
2021,2021-03-21,1,yes_no_choice,No,jev-1.13.0
2021,2021-03-21,1,who_choice,Joe Biden,jev-1.13.0
2025,2024-04-20,1,binary_probability,0.06,jev-1.13.0
2025,2024-04-20,1,yes_no_choice,No,jev-1.13.0
2025,2024-04-20,1,who_choice,Joe Biden,jev-1.13.0
2021,2021-05-13,1,binary_probability,0.03,jev-1.13.0
2021,2021-05-13,1,yes_no_choice,No,jev-1.13.0
2021,2021-05-13,1,who_choice,Joe Biden,jev-1.13.0
2025,2024-07-14,1,binary_probability,0.12,jev-1.13.0
2025,2024-07-14,1,yes_no_choice,No,jev-1.13.0
2025,2024-07-14,1,who_choice,Joe Biden,jev-1.13.0
2021,2020-10-28,1,binary_probability,0.98,jev-1.13.0
2021,2020-10-28,1,yes_no_choice,Yes,jev-1.13.0
2021,2020-10-28,1,who_choice,Donald Trump,jev-1.13.0
2025,2025-05-25,1,binary_probability,0.46,jev-1.13.0
2025,2025-05-25,1,yes_no_choice,No,jev-1.13.0
2025,2025-05-25,1,who_choice,Donald Trump,jev-1.13.0
2021,2020-07-24,1,binary_probability,0.98,jev-1.13.0
2021,2020-07-24,1,yes_no_choice,Yes,jev-1.13.0
2021,2020-07-24,1,who_choice,Donald Trump,jev-1.13.0
2025,2025-09-10,1,binary_probability,0.48,jev-1.13.0
2025,2025-09-10,1,yes_no_choice,Yes,jev-1.13.0
2025,2025-09-10,1,who_choice,Donald Trump,jev-1.13.0
2025,2025-08-01,1,binary_probability,0.38,jev-1.13.0
2025,2025-08-01,1,yes_no_choice,No,jev-1.13.0
2025,2025-08-01,1,who_choice,Donald Trump,jev-1.13.0
2021,2021-11-29,1,binary_probability,0.02,jev-1.13.0
2021,2021-11-29,1,yes_no_choice,No,jev-1.13.0
2021,2021-11-29,1,who_choice,Joe Biden,jev-1.13.0
2025,2024-03-09,1,binary_probability,0.09,jev-1.13.0
2025,2024-03-09,1,yes_no_choice,No,jev-1.13.0
2025,2024-03-09,1,who_choice,Joe Biden,jev-1.13.0
2025,2024-02-14,1,binary_probability,0.09,jev-1.13.0
2025,2024-02-14,1,yes_no_choice,No,jev-1.13.0
2025,2024-02-14,1,who_choice,Joe Biden,jev-1.13.0
2021,2021-01-05,1,binary_probability,0.96,jev-1.13.0
2021,2021-01-05,1,yes_no_choice,Yes,jev-1.13.0
2021,2021-01-05,1,who_choice,Donald Trump,jev-1.13.0
2021,2021-06-13,1,binary_probability,0.02,jev-1.13.0
2021,2021-06-13,1,yes_no_choice,No,jev-1.13.0
2021,2021-06-13,1,who_choice,Joe Biden,jev-1.13.0
2025,2024-03-20,1,binary_probability,0.09,jev-1.13.0
2025,2024-03-20,1,yes_no_choice,No,jev-1.13.0
2025,2024-03-20,1,who_choice,Joe Biden,jev-1.13.0
2025,2025-02-15,1,binary_probability,0.66,jev-1.13.0
2025,2025-02-15,1,yes_no_choice,Yes,jev-1.13.0
2025,2025-02-15,1,who_choice,Donald Trump,jev-1.13.0
2025,2024-02-17,1,binary_probability,0.06,jev-1.13.0
2025,2024-02-17,1,yes_no_choice,No,jev-1.13.0
2025,2024-02-17,1,who_choice,Joe Biden,jev-1.13.0
2025,2025-12-06,1,binary_probability,0.52,jev-1.13.0
2025,2025-12-06,1,yes_no_choice,Yes,jev-1.13.0
2025,2025-12-06,1,who_choice,Donald Trump,jev-1.13.0
