mode,asset,instrument,sector,horizon,multiple,n,mean_pct,median_pct,p10_pct,p90_pct,sd_pp
defined,SPY,SPY,Broad-market benchmark,2035,1000,100,8.4,8.0,7.000000000000001,9.0,0.7745966692414832
defined,SPY,SPY,Broad-market benchmark,no_date,1000,100,6.220000000000001,6.0,6.0,7.000000000000001,0.6257795138864809
defined,TSLA,Tesla,Additional high-volatility probe,2035,2,100,62.52,63.0,61.0,64.0,1.212270596855339
defined,TSLA,Tesla,Additional high-volatility probe,no_date,2,100,48.71,49.0,48.0,50.0,0.8401785524517987
defined,TSLA,Tesla,Additional high-volatility probe,2035,10,100,45.11,45.0,44.0,46.0,0.9475758544834287
defined,TSLA,Tesla,Additional high-volatility probe,no_date,10,100,35.44,35.0,34.0,36.0,0.8639444426582071
defined,TSLA,Tesla,Additional high-volatility probe,2035,100,100,34.49,34.0,33.0,36.0,1.0535179163165664
defined,TSLA,Tesla,Additional high-volatility probe,no_date,100,100,23.78,24.0,22.0,25.0,1.2851459061133876
defined,TSLA,Tesla,Additional high-volatility probe,2035,1000,100,19.94,20.0,18.0,22.0,1.2792185114357906
defined,TSLA,Tesla,Additional high-volatility probe,no_date,1000,100,12.85,13.0,12.0,14.000000000000002,0.9096702699330129
defined,WELL,Welltower,Real Estate,2035,2,100,41.31,41.0,40.0,42.0,0.8797158632194829
defined,WELL,Welltower,Real Estate,no_date,2,100,32.07,32.0,31.0,34.0,1.2430205147140574
defined,WELL,Welltower,Real Estate,2035,10,100,18.78,19.0,17.0,20.0,1.0543244282477762
defined,WELL,Welltower,Real Estate,no_date,10,100,14.17,14.000000000000002,13.0,15.0,0.9905049217444605
defined,WELL,Welltower,Real Estate,2035,100,100,7.66,8.0,7.000000000000001,8.0,0.5517245689653485
defined,WELL,Welltower,Real Estate,no_date,100,100,5.66,6.0,5.0,6.0,0.49436828377233105
defined,WELL,Welltower,Real Estate,2035,1000,100,5.4,5.0,5.0,6.0,0.5099019513592785
defined,WELL,Welltower,Real Estate,no_date,1000,100,4.16,4.0,4.0,5.0,0.3666060555964672
defined,WMT,Walmart,Consumer Staples,2035,2,100,55.760000000000005,56.00000000000001,55.00000000000001,56.99999999999999,1.0111379727811598
defined,WMT,Walmart,Consumer Staples,no_date,2,100,42.34,42.0,41.0,44.0,1.0219589032832974
defined,WMT,Walmart,Consumer Staples,2035,10,100,23.45,23.0,22.0,25.0,1.0988630487917956
defined,WMT,Walmart,Consumer Staples,no_date,10,100,22.43,22.0,21.0,24.0,1.2590075456485557
defined,WMT,Walmart,Consumer Staples,2035,100,100,11.35,11.0,10.0,12.0,0.9420721840708387
defined,WMT,Walmart,Consumer Staples,no_date,100,100,9.45,9.0,8.0,10.0,0.8874119674649424
defined,WMT,Walmart,Consumer Staples,2035,1000,100,8.2,8.0,7.000000000000001,9.0,0.6928203230275507
defined,WMT,Walmart,Consumer Staples,no_date,1000,100,6.340000000000001,6.0,6.0,7.000000000000001,0.514198405287298
defined,XOM,Exxon Mobil,Energy,2035,2,100,40.82,41.0,40.0,42.0,1.1169601604354562
defined,XOM,Exxon Mobil,Energy,no_date,2,100,34.24,34.0,33.0,35.0,0.8499411744350311
defined,XOM,Exxon Mobil,Energy,2035,10,100,15.89,16.0,15.0,17.0,1.0478072341800277
defined,XOM,Exxon Mobil,Energy,no_date,10,100,14.370000000000001,14.000000000000002,13.0,16.0,0.9343982020530645
defined,XOM,Exxon Mobil,Energy,2035,100,100,7.3100000000000005,7.000000000000001,7.000000000000001,8.0,0.6276145313805279
defined,XOM,Exxon Mobil,Energy,no_date,100,100,6.07,6.0,6.0,7.000000000000001,0.4950757517794628
defined,XOM,Exxon Mobil,Energy,2035,1000,100,4.6,5.0,4.0,5.0,0.5099019513592785
defined,XOM,Exxon Mobil,Energy,no_date,1000,100,5.1,5.0,5.0,6.0,0.3872983346207417
