criteria_mode,year,target_usd,question,replicate,p
empty,no_date,20000000,bitcoin will reach 20 million,25,0.59
paired_paraphrase,2035,1000000,"bitcoin will reach 1 million by December 31, 2035",75,0.41
omitted,2035,100000000,"bitcoin will reach 100 million by December 31, 2035",86,0.46
true_only,no_date,20000000,bitcoin will reach 20 million,45,0.38
paired,no_date,1000000,bitcoin will reach 1 million,49,0.41
true_only,no_date,1000000,bitcoin will reach 1 million,66,0.4
paired,no_date,20000000,bitcoin will reach 20 million,20,0.41
paired,2035,1000000,"bitcoin will reach 1 million by December 31, 2035",89,0.4
true_only,no_date,20000000,bitcoin will reach 20 million,63,0.38
omitted,2035,20000000,"bitcoin will reach 20 million by December 31, 2035",48,0.62
true_only,2035,100000000,"bitcoin will reach 100 million by December 31, 2035",48,0.54
empty,2035,1000000,"bitcoin will reach 1 million by December 31, 2035",72,0.16
false_only,no_date,100000000,bitcoin will reach 100 million,65,0.4
empty,no_date,100000000,bitcoin will reach 100 million,65,0.34
true_only,no_date,20000000,bitcoin will reach 20 million,87,0.42
paired,no_date,1000000,bitcoin will reach 1 million,17,0.39
true_only,2035,1000000,"bitcoin will reach 1 million by December 31, 2035",19,0.4
paired,2035,100000000,"bitcoin will reach 100 million by December 31, 2035",27,0.29
paired,2035,100000000,"bitcoin will reach 100 million by December 31, 2035",94,0.3
true_only,no_date,100000000,bitcoin will reach 100 million,12,0.5
true_only,no_date,20000000,bitcoin will reach 20 million,9,0.4
false_only,2035,100000000,"bitcoin will reach 100 million by December 31, 2035",69,0.32
empty,no_date,100000000,bitcoin will reach 100 million,34,0.32
empty,no_date,20000000,bitcoin will reach 20 million,69,0.61
empty,2035,100000000,"bitcoin will reach 100 million by December 31, 2035",41,0.25
omitted,no_date,1000000,bitcoin will reach 1 million,36,0.12
true_only,2035,100000000,"bitcoin will reach 100 million by December 31, 2035",72,0.57
paired_paraphrase,no_date,1000000,bitcoin will reach 1 million,58,0.46
empty,no_date,100000000,bitcoin will reach 100 million,80,0.33
paired_paraphrase,2035,100000000,"bitcoin will reach 100 million by December 31, 2035",84,0.14
true_only,2035,20000000,"bitcoin will reach 20 million by December 31, 2035",81,0.52
paired_paraphrase,no_date,1000000,bitcoin will reach 1 million,54,0.48
false_only,no_date,100000000,bitcoin will reach 100 million,27,0.4
true_only,no_date,20000000,bitcoin will reach 20 million,7,0.41
false_only,no_date,1000000,bitcoin will reach 1 million,73,0.27
paired_paraphrase,2035,100000000,"bitcoin will reach 100 million by December 31, 2035",54,0.15
omitted,no_date,20000000,bitcoin will reach 20 million,5,0.41
true_only,2035,1000000,"bitcoin will reach 1 million by December 31, 2035",67,0.43
omitted,2035,20000000,"bitcoin will reach 20 million by December 31, 2035",98,0.58
paired,2035,1000000,"bitcoin will reach 1 million by December 31, 2035",41,0.35
false_only,no_date,20000000,bitcoin will reach 20 million,68,0.42
true_only,no_date,100000000,bitcoin will reach 100 million,23,0.45
paired,no_date,100000000,bitcoin will reach 100 million,34,0.34
paired_paraphrase,no_date,100000000,bitcoin will reach 100 million,7,0.18
paired_paraphrase,2035,1000000,"bitcoin will reach 1 million by December 31, 2035",14,0.4
paired,no_date,100000000,bitcoin will reach 100 million,100,0.39
true_only,no_date,100000000,bitcoin will reach 100 million,79,0.45
paired_paraphrase,2035,20000000,"bitcoin will reach 20 million by December 31, 2035",20,0.16
true_only,no_date,20000000,bitcoin will reach 20 million,54,0.43
true_only,2035,1000000,"bitcoin will reach 1 million by December 31, 2035",11,0.43
empty,no_date,20000000,bitcoin will reach 20 million,83,0.56
false_only,2035,1000000,"bitcoin will reach 1 million by December 31, 2035",33,0.27
omitted,2035,1000000,"bitcoin will reach 1 million by December 31, 2035",34,0.15
paired,no_date,1000000,bitcoin will reach 1 million,36,0.38
paired,no_date,1000000,bitcoin will reach 1 million,1,0.4
true_only,2035,100000000,"bitcoin will reach 100 million by December 31, 2035",93,0.53
false_only,no_date,100000000,bitcoin will reach 100 million,90,0.43
paired,2035,20000000,"bitcoin will reach 20 million by December 31, 2035",90,0.4
omitted,2035,100000000,"bitcoin will reach 100 million by December 31, 2035",92,0.46
false_only,2035,1000000,"bitcoin will reach 1 million by December 31, 2035",50,0.29
false_only,2035,1000000,"bitcoin will reach 1 million by December 31, 2035",4,0.29
empty,2035,1000000,"bitcoin will reach 1 million by December 31, 2035",45,0.18
omitted,2035,1000000,"bitcoin will reach 1 million by December 31, 2035",79,0.14
true_only,2035,20000000,"bitcoin will reach 20 million by December 31, 2035",44,0.52
false_only,no_date,100000000,bitcoin will reach 100 million,10,0.42
empty,2035,20000000,"bitcoin will reach 20 million by December 31, 2035",47,0.59
omitted,no_date,20000000,bitcoin will reach 20 million,34,0.44
paired_paraphrase,2035,20000000,"bitcoin will reach 20 million by December 31, 2035",33,0.17
empty,2035,20000000,"bitcoin will reach 20 million by December 31, 2035",11,0.53
omitted,2035,1000000,"bitcoin will reach 1 million by December 31, 2035",100,0.15
paired,2035,20000000,"bitcoin will reach 20 million by December 31, 2035",81,0.4
paired,no_date,100000000,bitcoin will reach 100 million,18,0.35
false_only,no_date,1000000,bitcoin will reach 1 million,20,0.23
paired_paraphrase,2035,1000000,"bitcoin will reach 1 million by December 31, 2035",71,0.39
paired_paraphrase,no_date,1000000,bitcoin will reach 1 million,83,0.44
paired_paraphrase,no_date,20000000,bitcoin will reach 20 million,59,0.25
empty,no_date,100000000,bitcoin will reach 100 million,82,0.38
empty,2035,20000000,"bitcoin will reach 20 million by December 31, 2035",94,0.61
paired_paraphrase,2035,20000000,"bitcoin will reach 20 million by December 31, 2035",62,0.17
paired_paraphrase,2035,1000000,"bitcoin will reach 1 million by December 31, 2035",17,0.41
omitted,2035,100000000,"bitcoin will reach 100 million by December 31, 2035",55,0.47
true_only,no_date,1000000,bitcoin will reach 1 million,80,0.4
omitted,no_date,20000000,bitcoin will reach 20 million,8,0.42
false_only,2035,20000000,"bitcoin will reach 20 million by December 31, 2035",13,0.43
false_only,no_date,20000000,bitcoin will reach 20 million,21,0.4
false_only,2035,20000000,"bitcoin will reach 20 million by December 31, 2035",88,0.43
empty,2035,20000000,"bitcoin will reach 20 million by December 31, 2035",40,0.57
true_only,2035,100000000,"bitcoin will reach 100 million by December 31, 2035",36,0.53
empty,no_date,20000000,bitcoin will reach 20 million,65,0.59
paired,no_date,1000000,bitcoin will reach 1 million,47,0.4
omitted,no_date,100000000,bitcoin will reach 100 million,91,0.37
empty,no_date,1000000,bitcoin will reach 1 million,1,0.14
true_only,no_date,1000000,bitcoin will reach 1 million,21,0.41
paired,2035,1000000,"bitcoin will reach 1 million by December 31, 2035",26,0.41
paired_paraphrase,no_date,1000000,bitcoin will reach 1 million,82,0.46
paired,no_date,1000000,bitcoin will reach 1 million,34,0.4
paired_paraphrase,2035,20000000,"bitcoin will reach 20 million by December 31, 2035",41,0.19
true_only,no_date,1000000,bitcoin will reach 1 million,63,0.39
paired_paraphrase,2035,1000000,"bitcoin will reach 1 million by December 31, 2035",95,0.4
paired,no_date,1000000,bitcoin will reach 1 million,9,0.4
omitted,no_date,1000000,bitcoin will reach 1 million,92,0.13
true_only,2035,100000000,"bitcoin will reach 100 million by December 31, 2035",58,0.57
false_only,2035,1000000,"bitcoin will reach 1 million by December 31, 2035",20,0.29
true_only,no_date,100000000,bitcoin will reach 100 million,58,0.46
empty,no_date,1000000,bitcoin will reach 1 million,41,0.13
true_only,2035,20000000,"bitcoin will reach 20 million by December 31, 2035",36,0.58
true_only,2035,20000000,"bitcoin will reach 20 million by December 31, 2035",3,0.52
empty,no_date,1000000,bitcoin will reach 1 million,40,0.13
omitted,2035,100000000,"bitcoin will reach 100 million by December 31, 2035",76,0.4
paired_paraphrase,2035,20000000,"bitcoin will reach 20 million by December 31, 2035",26,0.16
true_only,2035,1000000,"bitcoin will reach 1 million by December 31, 2035",24,0.41
omitted,2035,20000000,"bitcoin will reach 20 million by December 31, 2035",100,0.66
empty,2035,100000000,"bitcoin will reach 100 million by December 31, 2035",69,0.23
paired,2035,100000000,"bitcoin will reach 100 million by December 31, 2035",68,0.25
paired_paraphrase,no_date,20000000,bitcoin will reach 20 million,47,0.23
paired,2035,100000000,"bitcoin will reach 100 million by December 31, 2035",91,0.26
paired_paraphrase,no_date,1000000,bitcoin will reach 1 million,57,0.46
false_only,no_date,100000000,bitcoin will reach 100 million,45,0.43
false_only,2035,20000000,"bitcoin will reach 20 million by December 31, 2035",91,0.43
false_only,no_date,20000000,bitcoin will reach 20 million,50,0.45
omitted,no_date,100000000,bitcoin will reach 100 million,72,0.34
false_only,no_date,1000000,bitcoin will reach 1 million,75,0.28
paired,no_date,1000000,bitcoin will reach 1 million,56,0.4
true_only,no_date,1000000,bitcoin will reach 1 million,67,0.37
paired,2035,20000000,"bitcoin will reach 20 million by December 31, 2035",41,0.44
false_only,2035,100000000,"bitcoin will reach 100 million by December 31, 2035",30,0.31
empty,no_date,20000000,bitcoin will reach 20 million,78,0.56
paired,no_date,1000000,bitcoin will reach 1 million,81,0.4
paired_paraphrase,no_date,100000000,bitcoin will reach 100 million,75,0.2
true_only,no_date,100000000,bitcoin will reach 100 million,11,0.47
empty,no_date,1000000,bitcoin will reach 1 million,35,0.14
paired,2035,20000000,"bitcoin will reach 20 million by December 31, 2035",27,0.43
false_only,no_date,100000000,bitcoin will reach 100 million,13,0.41
paired,2035,20000000,"bitcoin will reach 20 million by December 31, 2035",85,0.41
omitted,2035,1000000,"bitcoin will reach 1 million by December 31, 2035",89,0.14
paired,no_date,1000000,bitcoin will reach 1 million,19,0.4
true_only,2035,100000000,"bitcoin will reach 100 million by December 31, 2035",100,0.55
true_only,2035,100000000,"bitcoin will reach 100 million by December 31, 2035",74,0.54
true_only,2035,100000000,"bitcoin will reach 100 million by December 31, 2035",73,0.53
paired,no_date,100000000,bitcoin will reach 100 million,44,0.32
paired_paraphrase,2035,20000000,"bitcoin will reach 20 million by December 31, 2035",5,0.16
false_only,2035,20000000,"bitcoin will reach 20 million by December 31, 2035",96,0.43
paired,2035,20000000,"bitcoin will reach 20 million by December 31, 2035",46,0.42
omitted,no_date,1000000,bitcoin will reach 1 million,1,0.11
empty,2035,20000000,"bitcoin will reach 20 million by December 31, 2035",81,0.6
omitted,no_date,1000000,bitcoin will reach 1 million,65,0.11
empty,no_date,20000000,bitcoin will reach 20 million,58,0.55
true_only,no_date,20000000,bitcoin will reach 20 million,28,0.38
true_only,no_date,1000000,bitcoin will reach 1 million,31,0.41
true_only,no_date,1000000,bitcoin will reach 1 million,22,0.4
empty,2035,1000000,"bitcoin will reach 1 million by December 31, 2035",85,0.18
paired,2035,100000000,"bitcoin will reach 100 million by December 31, 2035",8,0.28
false_only,no_date,100000000,bitcoin will reach 100 million,35,0.42
omitted,no_date,20000000,bitcoin will reach 20 million,84,0.47
true_only,2035,20000000,"bitcoin will reach 20 million by December 31, 2035",53,0.55
paired_paraphrase,no_date,100000000,bitcoin will reach 100 million,12,0.2
true_only,2035,100000000,"bitcoin will reach 100 million by December 31, 2035",64,0.55
true_only,2035,20000000,"bitcoin will reach 20 million by December 31, 2035",72,0.51
true_only,no_date,100000000,bitcoin will reach 100 million,69,0.48
false_only,2035,100000000,"bitcoin will reach 100 million by December 31, 2035",25,0.32
false_only,2035,100000000,"bitcoin will reach 100 million by December 31, 2035",67,0.31
paired,no_date,100000000,bitcoin will reach 100 million,36,0.34
omitted,no_date,1000000,bitcoin will reach 1 million,78,0.12
paired,2035,1000000,"bitcoin will reach 1 million by December 31, 2035",18,0.39
false_only,2035,100000000,"bitcoin will reach 100 million by December 31, 2035",85,0.33
paired_paraphrase,no_date,1000000,bitcoin will reach 1 million,95,0.44
paired_paraphrase,no_date,1000000,bitcoin will reach 1 million,50,0.47
false_only,no_date,100000000,bitcoin will reach 100 million,18,0.41
omitted,no_date,100000000,bitcoin will reach 100 million,58,0.36
omitted,2035,100000000,"bitcoin will reach 100 million by December 31, 2035",58,0.45
false_only,2035,1000000,"bitcoin will reach 1 million by December 31, 2035",30,0.28
omitted,2035,1000000,"bitcoin will reach 1 million by December 31, 2035",3,0.14
omitted,2035,20000000,"bitcoin will reach 20 million by December 31, 2035",88,0.61
true_only,no_date,1000000,bitcoin will reach 1 million,44,0.4
false_only,no_date,100000000,bitcoin will reach 100 million,82,0.42
false_only,no_date,100000000,bitcoin will reach 100 million,28,0.42
empty,2035,100000000,"bitcoin will reach 100 million by December 31, 2035",38,0.24
paired,no_date,20000000,bitcoin will reach 20 million,64,0.4
true_only,2035,20000000,"bitcoin will reach 20 million by December 31, 2035",87,0.49
false_only,no_date,1000000,bitcoin will reach 1 million,93,0.26
empty,no_date,100000000,bitcoin will reach 100 million,28,0.32
paired_paraphrase,no_date,100000000,bitcoin will reach 100 million,62,0.2
omitted,no_date,20000000,bitcoin will reach 20 million,25,0.42
true_only,no_date,1000000,bitcoin will reach 1 million,59,0.34
true_only,2035,1000000,"bitcoin will reach 1 million by December 31, 2035",8,0.41
paired,2035,1000000,"bitcoin will reach 1 million by December 31, 2035",16,0.37
false_only,no_date,100000000,bitcoin will reach 100 million,43,0.41
paired,2035,1000000,"bitcoin will reach 1 million by December 31, 2035",93,0.41
omitted,no_date,1000000,bitcoin will reach 1 million,50,0.13
true_only,2035,1000000,"bitcoin will reach 1 million by December 31, 2035",4,0.4
empty,no_date,100000000,bitcoin will reach 100 million,25,0.34
true_only,2035,100000000,"bitcoin will reach 100 million by December 31, 2035",33,0.53
false_only,no_date,1000000,bitcoin will reach 1 million,68,0.23
paired_paraphrase,2035,20000000,"bitcoin will reach 20 million by December 31, 2035",6,0.14
true_only,2035,100000000,"bitcoin will reach 100 million by December 31, 2035",4,0.55
paired_paraphrase,no_date,20000000,bitcoin will reach 20 million,12,0.21
paired,2035,100000000,"bitcoin will reach 100 million by December 31, 2035",15,0.26
paired,2035,20000000,"bitcoin will reach 20 million by December 31, 2035",67,0.42
false_only,2035,20000000,"bitcoin will reach 20 million by December 31, 2035",25,0.43
paired,no_date,1000000,bitcoin will reach 1 million,38,0.39
omitted,2035,20000000,"bitcoin will reach 20 million by December 31, 2035",52,0.62
paired_paraphrase,no_date,100000000,bitcoin will reach 100 million,59,0.2
omitted,2035,100000000,"bitcoin will reach 100 million by December 31, 2035",13,0.46
empty,2035,1000000,"bitcoin will reach 1 million by December 31, 2035",7,0.19
omitted,no_date,100000000,bitcoin will reach 100 million,77,0.36
paired_paraphrase,2035,20000000,"bitcoin will reach 20 million by December 31, 2035",44,0.15
false_only,no_date,20000000,bitcoin will reach 20 million,8,0.42
omitted,no_date,1000000,bitcoin will reach 1 million,10,0.11
paired_paraphrase,no_date,20000000,bitcoin will reach 20 million,69,0.21
true_only,no_date,100000000,bitcoin will reach 100 million,53,0.5
paired,2035,100000000,"bitcoin will reach 100 million by December 31, 2035",30,0.3
paired,no_date,1000000,bitcoin will reach 1 million,80,0.4
paired,2035,100000000,"bitcoin will reach 100 million by December 31, 2035",88,0.29
paired_paraphrase,2035,1000000,"bitcoin will reach 1 million by December 31, 2035",16,0.41
true_only,2035,100000000,"bitcoin will reach 100 million by December 31, 2035",90,0.58
false_only,no_date,20000000,bitcoin will reach 20 million,89,0.37
paired_paraphrase,no_date,20000000,bitcoin will reach 20 million,28,0.22
omitted,2035,1000000,"bitcoin will reach 1 million by December 31, 2035",8,0.15
omitted,2035,20000000,"bitcoin will reach 20 million by December 31, 2035",7,0.68
true_only,2035,20000000,"bitcoin will reach 20 million by December 31, 2035",61,0.53
empty,no_date,1000000,bitcoin will reach 1 million,96,0.15
paired,2035,20000000,"bitcoin will reach 20 million by December 31, 2035",63,0.42
omitted,2035,1000000,"bitcoin will reach 1 million by December 31, 2035",68,0.15
empty,2035,1000000,"bitcoin will reach 1 million by December 31, 2035",15,0.19
paired_paraphrase,no_date,100000000,bitcoin will reach 100 million,97,0.2
false_only,2035,1000000,"bitcoin will reach 1 million by December 31, 2035",12,0.28
empty,no_date,100000000,bitcoin will reach 100 million,55,0.36
empty,2035,1000000,"bitcoin will reach 1 million by December 31, 2035",21,0.18
false_only,no_date,100000000,bitcoin will reach 100 million,1,0.42
paired,2035,20000000,"bitcoin will reach 20 million by December 31, 2035",59,0.41
false_only,no_date,20000000,bitcoin will reach 20 million,26,0.38
empty,no_date,1000000,bitcoin will reach 1 million,76,0.13
true_only,no_date,20000000,bitcoin will reach 20 million,12,0.41
paired_paraphrase,no_date,1000000,bitcoin will reach 1 million,41,0.45
true_only,2035,20000000,"bitcoin will reach 20 million by December 31, 2035",14,0.54
paired,2035,20000000,"bitcoin will reach 20 million by December 31, 2035",42,0.39
paired_paraphrase,no_date,100000000,bitcoin will reach 100 million,21,0.21
empty,2035,100000000,"bitcoin will reach 100 million by December 31, 2035",81,0.28
false_only,2035,100000000,"bitcoin will reach 100 million by December 31, 2035",92,0.36
paired,no_date,100000000,bitcoin will reach 100 million,39,0.33
empty,no_date,1000000,bitcoin will reach 1 million,72,0.14
true_only,no_date,1000000,bitcoin will reach 1 million,52,0.4
paired,no_date,20000000,bitcoin will reach 20 million,19,0.41
empty,no_date,100000000,bitcoin will reach 100 million,22,0.3
omitted,2035,1000000,"bitcoin will reach 1 million by December 31, 2035",27,0.16
empty,no_date,100000000,bitcoin will reach 100 million,68,0.36
true_only,no_date,100000000,bitcoin will reach 100 million,38,0.46
paired,no_date,100000000,bitcoin will reach 100 million,33,0.36
paired_paraphrase,2035,100000000,"bitcoin will reach 100 million by December 31, 2035",33,0.14
false_only,2035,20000000,"bitcoin will reach 20 million by December 31, 2035",61,0.4
paired,no_date,1000000,bitcoin will reach 1 million,43,0.38
true_only,no_date,20000000,bitcoin will reach 20 million,56,0.41
true_only,2035,100000000,"bitcoin will reach 100 million by December 31, 2035",55,0.53
true_only,2035,20000000,"bitcoin will reach 20 million by December 31, 2035",34,0.51
paired_paraphrase,no_date,20000000,bitcoin will reach 20 million,63,0.21
true_only,no_date,100000000,bitcoin will reach 100 million,36,0.45
paired_paraphrase,no_date,20000000,bitcoin will reach 20 million,72,0.23
empty,no_date,20000000,bitcoin will reach 20 million,97,0.58
empty,no_date,20000000,bitcoin will reach 20 million,68,0.57
paired,2035,100000000,"bitcoin will reach 100 million by December 31, 2035",53,0.28
empty,no_date,100000000,bitcoin will reach 100 million,77,0.38
true_only,2035,20000000,"bitcoin will reach 20 million by December 31, 2035",55,0.57
omitted,2035,20000000,"bitcoin will reach 20 million by December 31, 2035",42,0.65
omitted,2035,100000000,"bitcoin will reach 100 million by December 31, 2035",70,0.46
true_only,2035,100000000,"bitcoin will reach 100 million by December 31, 2035",25,0.56
empty,2035,1000000,"bitcoin will reach 1 million by December 31, 2035",22,0.16
omitted,2035,20000000,"bitcoin will reach 20 million by December 31, 2035",36,0.61
paired,2035,100000000,"bitcoin will reach 100 million by December 31, 2035",92,0.3
empty,2035,20000000,"bitcoin will reach 20 million by December 31, 2035",20,0.58
false_only,no_date,100000000,bitcoin will reach 100 million,59,0.42
paired,no_date,20000000,bitcoin will reach 20 million,51,0.37
empty,no_date,100000000,bitcoin will reach 100 million,61,0.37
omitted,2035,20000000,"bitcoin will reach 20 million by December 31, 2035",62,0.55
omitted,2035,100000000,"bitcoin will reach 100 million by December 31, 2035",31,0.45
empty,no_date,1000000,bitcoin will reach 1 million,99,0.14
false_only,2035,1000000,"bitcoin will reach 1 million by December 31, 2035",65,0.28
empty,2035,20000000,"bitcoin will reach 20 million by December 31, 2035",71,0.55
paired,no_date,1000000,bitcoin will reach 1 million,27,0.4
false_only,2035,20000000,"bitcoin will reach 20 million by December 31, 2035",5,0.45
empty,no_date,1000000,bitcoin will reach 1 million,33,0.14
false_only,no_date,100000000,bitcoin will reach 100 million,38,0.44
false_only,2035,1000000,"bitcoin will reach 1 million by December 31, 2035",78,0.27
empty,2035,20000000,"bitcoin will reach 20 million by December 31, 2035",98,0.61
paired,no_date,1000000,bitcoin will reach 1 million,99,0.41
true_only,no_date,20000000,bitcoin will reach 20 million,90,0.4
omitted,2035,1000000,"bitcoin will reach 1 million by December 31, 2035",69,0.14
false_only,no_date,20000000,bitcoin will reach 20 million,90,0.38
omitted,2035,20000000,"bitcoin will reach 20 million by December 31, 2035",96,0.62
false_only,no_date,20000000,bitcoin will reach 20 million,6,0.44
false_only,2035,100000000,"bitcoin will reach 100 million by December 31, 2035",61,0.32
true_only,2035,20000000,"bitcoin will reach 20 million by December 31, 2035",29,0.53
true_only,no_date,20000000,bitcoin will reach 20 million,100,0.37
empty,no_date,1000000,bitcoin will reach 1 million,79,0.13
empty,2035,20000000,"bitcoin will reach 20 million by December 31, 2035",83,0.61
empty,no_date,100000000,bitcoin will reach 100 million,98,0.35
empty,no_date,100000000,bitcoin will reach 100 million,15,0.34
false_only,no_date,1000000,bitcoin will reach 1 million,21,0.25
paired,2035,1000000,"bitcoin will reach 1 million by December 31, 2035",27,0.42
omitted,2035,100000000,"bitcoin will reach 100 million by December 31, 2035",4,0.47
paired_paraphrase,2035,1000000,"bitcoin will reach 1 million by December 31, 2035",68,0.4
omitted,2035,100000000,"bitcoin will reach 100 million by December 31, 2035",46,0.44
paired,no_date,100000000,bitcoin will reach 100 million,2,0.31
false_only,no_date,20000000,bitcoin will reach 20 million,52,0.43
omitted,2035,1000000,"bitcoin will reach 1 million by December 31, 2035",80,0.13
false_only,2035,100000000,"bitcoin will reach 100 million by December 31, 2035",1,0.31
true_only,2035,100000000,"bitcoin will reach 100 million by December 31, 2035",7,0.53
paired_paraphrase,2035,100000000,"bitcoin will reach 100 million by December 31, 2035",43,0.16
omitted,2035,20000000,"bitcoin will reach 20 million by December 31, 2035",64,0.61
omitted,no_date,20000000,bitcoin will reach 20 million,77,0.45
empty,no_date,20000000,bitcoin will reach 20 million,34,0.59
omitted,no_date,20000000,bitcoin will reach 20 million,30,0.45
paired_paraphrase,no_date,1000000,bitcoin will reach 1 million,67,0.47
paired_paraphrase,2035,100000000,"bitcoin will reach 100 million by December 31, 2035",99,0.13
paired_paraphrase,2035,100000000,"bitcoin will reach 100 million by December 31, 2035",86,0.14
paired_paraphrase,2035,1000000,"bitcoin will reach 1 million by December 31, 2035",33,0.39
empty,no_date,1000000,bitcoin will reach 1 million,81,0.14
empty,no_date,20000000,bitcoin will reach 20 million,90,0.57
empty,no_date,1000000,bitcoin will reach 1 million,7,0.14
false_only,2035,20000000,"bitcoin will reach 20 million by December 31, 2035",73,0.42
omitted,no_date,20000000,bitcoin will reach 20 million,73,0.43
false_only,no_date,20000000,bitcoin will reach 20 million,63,0.43
empty,2035,1000000,"bitcoin will reach 1 million by December 31, 2035",70,0.17
empty,no_date,20000000,bitcoin will reach 20 million,55,0.59
paired_paraphrase,2035,20000000,"bitcoin will reach 20 million by December 31, 2035",87,0.18
false_only,2035,1000000,"bitcoin will reach 1 million by December 31, 2035",21,0.27
paired_paraphrase,no_date,1000000,bitcoin will reach 1 million,14,0.44
paired_paraphrase,no_date,100000000,bitcoin will reach 100 million,4,0.19
true_only,no_date,1000000,bitcoin will reach 1 million,45,0.4
empty,no_date,1000000,bitcoin will reach 1 million,67,0.16
paired,no_date,20000000,bitcoin will reach 20 million,46,0.37
empty,no_date,20000000,bitcoin will reach 20 million,29,0.59
paired_paraphrase,2035,100000000,"bitcoin will reach 100 million by December 31, 2035",31,0.14
paired,no_date,20000000,bitcoin will reach 20 million,96,0.38
empty,2035,100000000,"bitcoin will reach 100 million by December 31, 2035",94,0.24
paired_paraphrase,2035,100000000,"bitcoin will reach 100 million by December 31, 2035",85,0.14
true_only,no_date,100000000,bitcoin will reach 100 million,67,0.45
empty,no_date,1000000,bitcoin will reach 1 million,91,0.15
false_only,no_date,20000000,bitcoin will reach 20 million,97,0.42
false_only,2035,20000000,"bitcoin will reach 20 million by December 31, 2035",78,0.42
true_only,no_date,1000000,bitcoin will reach 1 million,75,0.37
paired,2035,20000000,"bitcoin will reach 20 million by December 31, 2035",44,0.41
true_only,2035,1000000,"bitcoin will reach 1 million by December 31, 2035",32,0.42
omitted,2035,1000000,"bitcoin will reach 1 million by December 31, 2035",73,0.13
true_only,no_date,20000000,bitcoin will reach 20 million,2,0.41
paired,2035,20000000,"bitcoin will reach 20 million by December 31, 2035",98,0.45
empty,2035,100000000,"bitcoin will reach 100 million by December 31, 2035",88,0.25
paired_paraphrase,2035,20000000,"bitcoin will reach 20 million by December 31, 2035",75,0.17
paired_paraphrase,2035,100000000,"bitcoin will reach 100 million by December 31, 2035",12,0.14
empty,no_date,1000000,bitcoin will reach 1 million,20,0.15
paired,no_date,100000000,bitcoin will reach 100 million,16,0.35
paired_paraphrase,no_date,20000000,bitcoin will reach 20 million,95,0.21
paired,no_date,20000000,bitcoin will reach 20 million,92,0.42
paired,no_date,100000000,bitcoin will reach 100 million,52,0.37
false_only,2035,1000000,"bitcoin will reach 1 million by December 31, 2035",17,0.28
paired,2035,20000000,"bitcoin will reach 20 million by December 31, 2035",34,0.39
paired_paraphrase,no_date,100000000,bitcoin will reach 100 million,23,0.22
paired,no_date,20000000,bitcoin will reach 20 million,67,0.37
true_only,no_date,100000000,bitcoin will reach 100 million,7,0.48
paired_paraphrase,no_date,20000000,bitcoin will reach 20 million,74,0.22
true_only,no_date,100000000,bitcoin will reach 100 million,32,0.45
false_only,no_date,100000000,bitcoin will reach 100 million,12,0.41
omitted,2035,20000000,"bitcoin will reach 20 million by December 31, 2035",1,0.6
false_only,2035,1000000,"bitcoin will reach 1 million by December 31, 2035",44,0.28
true_only,no_date,20000000,bitcoin will reach 20 million,91,0.4
empty,no_date,20000000,bitcoin will reach 20 million,75,0.54
empty,no_date,1000000,bitcoin will reach 1 million,13,0.14
omitted,2035,1000000,"bitcoin will reach 1 million by December 31, 2035",43,0.15
empty,2035,1000000,"bitcoin will reach 1 million by December 31, 2035",78,0.19
paired,no_date,100000000,bitcoin will reach 100 million,5,0.34
paired,2035,1000000,"bitcoin will reach 1 million by December 31, 2035",78,0.39
false_only,no_date,20000000,bitcoin will reach 20 million,9,0.42
false_only,2035,100000000,"bitcoin will reach 100 million by December 31, 2035",5,0.33
omitted,no_date,100000000,bitcoin will reach 100 million,44,0.35
false_only,no_date,100000000,bitcoin will reach 100 million,5,0.4
paired_paraphrase,2035,100000000,"bitcoin will reach 100 million by December 31, 2035",81,0.14
omitted,no_date,100000000,bitcoin will reach 100 million,14,0.37
paired_paraphrase,2035,1000000,"bitcoin will reach 1 million by December 31, 2035",7,0.41
omitted,no_date,1000000,bitcoin will reach 1 million,45,0.1
paired_paraphrase,2035,100000000,"bitcoin will reach 100 million by December 31, 2035",53,0.13
paired_paraphrase,no_date,20000000,bitcoin will reach 20 million,73,0.22
paired_paraphrase,2035,20000000,"bitcoin will reach 20 million by December 31, 2035",25,0.17
paired_paraphrase,2035,100000000,"bitcoin will reach 100 million by December 31, 2035",61,0.13
true_only,2035,1000000,"bitcoin will reach 1 million by December 31, 2035",39,0.4
omitted,2035,1000000,"bitcoin will reach 1 million by December 31, 2035",55,0.13
empty,2035,20000000,"bitcoin will reach 20 million by December 31, 2035",41,0.6
omitted,2035,1000000,"bitcoin will reach 1 million by December 31, 2035",38,0.15
paired_paraphrase,2035,1000000,"bitcoin will reach 1 million by December 31, 2035",74,0.41
false_only,no_date,1000000,bitcoin will reach 1 million,36,0.22
false_only,2035,100000000,"bitcoin will reach 100 million by December 31, 2035",42,0.34
false_only,2035,1000000,"bitcoin will reach 1 million by December 31, 2035",82,0.27
paired_paraphrase,2035,100000000,"bitcoin will reach 100 million by December 31, 2035",66,0.16
paired_paraphrase,no_date,100000000,bitcoin will reach 100 million,28,0.21
true_only,no_date,100000000,bitcoin will reach 100 million,54,0.45
true_only,no_date,1000000,bitcoin will reach 1 million,2,0.38
true_only,no_date,20000000,bitcoin will reach 20 million,21,0.38
